,effective_bloky,trzby,revenue_per_transaction,podiel_rx,bloky_range,trzby_cv,bloky_cv,kpi_mean,seasonal_peak_factor,fte
effective_bloky,1.0,0.8326036796059852,-0.3250611728910735,-0.48944628936608336,0.6731351219163431,-0.24382057658775572,-0.18253819169220467,-0.3324211919002109,-0.3185667781877375,0.901165337340088
trzby,0.8326036796059852,1.0,0.1937952321158931,-0.08816894949042997,0.5399273613175449,-0.25070504428625795,-0.17907825714168632,-0.6205486845968168,-0.2559317848167302,0.8411312853289226
revenue_per_transaction,-0.3250611728910735,0.1937952321158931,1.0,0.6904217598880038,-0.28565677723581123,-0.019274849299996007,-0.03894081330668215,-0.4881695507328063,0.09033267975089282,-0.20620689964369077
podiel_rx,-0.48944628936608336,-0.08816894949042997,0.6904217598880038,1.0,-0.5369263305348659,-0.20040959258466404,-0.1731852006282263,-0.41619794453759085,0.02593157673854455,-0.4180864338056104
bloky_range,0.6731351219163431,0.5399273613175449,-0.28565677723581123,-0.5369263305348659,1.0,0.36061259092057646,0.5130319502685885,-0.11983985783302409,0.2665279023180501,0.6620678844283028
trzby_cv,-0.24382057658775572,-0.25070504428625795,-0.019274849299996007,-0.20040959258466404,0.36061259092057646,1.0,0.7496824602376669,0.3866571420160454,0.6247144973300987,-0.1541896730178772
bloky_cv,-0.18253819169220467,-0.17907825714168632,-0.03894081330668215,-0.1731852006282263,0.5130319502685885,0.7496824602376669,1.0,0.27935982207812304,0.8002680568537266,-0.08854123347549808
kpi_mean,-0.3324211919002109,-0.6205486845968168,-0.4881695507328063,-0.41619794453759085,-0.11983985783302409,0.3866571420160454,0.27935982207812304,1.0,0.22808509209783176,-0.2585697393396833
seasonal_peak_factor,-0.3185667781877375,-0.2559317848167302,0.09033267975089282,0.02593157673854455,0.2665279023180501,0.6247144973300987,0.8002680568537266,0.22808509209783176,1.0,-0.21089549437333377
fte,0.901165337340088,0.8411312853289226,-0.20620689964369077,-0.4180864338056104,0.6620678844283028,-0.1541896730178772,-0.08854123347549808,-0.2585697393396833,-0.21089549437333377,1.0
